,toid,mean_depth,p90ile_depth,Class,Area
292,osgb292,0.02,0.032,A) Low,200
293,osgb293,0.018,0.046,A) Low,200
294,osgb294,0.009,0.01,A) Low,200
295,osgb295,0.021,0.033,A) Low,200
296,osgb296,0.015,0.026,A) Low,200
297,osgb297,0.018,0.046,A) Low,125
298,osgb298,0.02,0.046,A) Low,125
299,osgb299,0.005,0.006,A) Low,125
300,osgb300,0.007,0.009,A) Low,125
301,osgb301,0.014,0.023,A) Low,1050
302,osgb302,0.024,0.039,A) Low,375
303,osgb303,0.007,0.009,A) Low,375
304,osgb304,0.008,0.012,A) Low,375
305,osgb305,0.012,0.018,A) Low,375
306,osgb306,0.029,0.038,A) Low,350
307,osgb307,0.004,0.005,A) Low,350
308,osgb308,0.004,0.008,A) Low,350
309,osgb309,0.01,0.013,A) Low,350
310,osgb310,0.043,0.096,A) Low,125
311,osgb311,0.037,0.055,A) Low,125
312,osgb312,0.009,0.016,A) Low,125
313,osgb313,0.008,0.011,A) Low,125
314,osgb314,0.039,0.056,A) Low,350
315,osgb315,0.006,0.008,A) Low,350
316,osgb316,0.003,0.004,A) Low,350
317,osgb317,0.018,0.026,A) Low,350
318,osgb318,0.026,0.054,A) Low,125
319,osgb319,0.042,0.074,A) Low,125
320,osgb320,0.019,0.026,A) Low,125
321,osgb321,0.014,0.016,A) Low,125
322,osgb322,0.006,0.01,A) Low,375
323,osgb323,0.012,0.026,A) Low,375
324,osgb324,0.014,0.018,A) Low,950
325,osgb325,0.007,0.007,A) Low,125
326,osgb326,0.016,0.031,A) Low,125
327,osgb327,0.039,0.058,A) Low,125
328,osgb328,0.033,0.061,A) Low,125
329,osgb329,0.037,0.075,A) Low,375
330,osgb330,0.004,0.006,A) Low,375
331,osgb331,0.06,0.145,A) Low,1050
332,osgb332,0.021,0.036,A) Low,375
333,osgb333,0.009,0.016,A) Low,375
334,osgb334,0.158,0.279,B) Medium,375
335,osgb335,0.083,0.237,A) Low,375
336,osgb336,0.007,0.01,A) Low,375
337,osgb337,0.006,0.008,A) Low,375
338,osgb338,0.019,0.026,A) Low,350
339,osgb339,0.004,0.011,A) Low,350
340,osgb340,0.091,0.186,A) Low,350
341,osgb341,0.064,0.177,A) Low,350
342,osgb342,0.019,0.061,A) Low,350
343,osgb343,0.008,0.012,A) Low,350
344,osgb344,0.017,0.026,A) Low,350
345,osgb345,0.114,0.354,C) High,350
346,osgb346,0.191,0.353,C) High,350
347,osgb347,0.1,0.258,B) Medium,350
348,osgb348,0.187,0.243,B) Medium,350
349,osgb349,0.082,0.186,A) Low,350
350,osgb350,0.035,0.048,A) Low,375
351,osgb351,0.118,0.361,C) High,375
352,osgb352,0.063,0.094,A) Low,375
353,osgb353,0.013,0.027,A) Low,950
354,osgb354,0.017,0.034,A) Low,375
355,osgb355,0.186,0.461,C) High,375
356,osgb356,0.095,0.16,A) Low,375
357,osgb357,0.01,0.016,A) Low,1050
358,osgb358,0.006,0.011,A) Low,742
359,osgb359,0.003,0.005,A) Low,950
360,osgb360,0.005,0.009,A) Low,180
361,osgb361,0.002,0.002,A) Low,255
362,osgb362,0.054,0.135,A) Low,255
363,osgb363,0.113,0.153,B) Medium,180
364,osgb364,0.17,0.199,B) Medium,180
365,osgb365,0.149,0.197,B) Medium,255
